LocationID,Zone,Borough,service_zone,pickup_count,dropoff_count
59,Crotona Park,Bronx,Boro Zone,104,274.0
68,East Chelsea,Manhattan,Yellow Zone,1113868,1075723.0
35,Brownsville,Brooklyn,Boro Zone,11644,14718.0
205,Saint Albans,Queens,Boro Zone,5446,15309.0
187,Port Richmond,Staten Island,Boro Zone,38,327.0
71,East Flatbush/Farragut,Brooklyn,Boro Zone,9346,13767.0
41,Central Harlem,Manhattan,Boro Zone,119738,247015.0
190,Prospect Park,Brooklyn,Boro Zone,1421,5275.0
169,Mount Hope,Bronx,Boro Zone,3713,6989.0
53,College Point,Queens,Boro Zone,1325,6472.0
62,Crown Heights South,Brooklyn,Boro Zone,8799,20217.0
202,Roosevelt Island,Manhattan,Boro Zone,2539,20571.0
50,Clinton West,Manhattan,Yellow Zone,253267,434032.0
77,East New York/Pennsylvania Avenue,Brooklyn,Boro Zone,4668,7528.0
184,Pelham Bay Park,Bronx,Boro Zone,174,456.0
101,Glen Oaks,Queens,Boro Zone,1119,4055.0
256,Williamsburg (South Side),Brooklyn,Boro Zone,23600,84809.0
214,South Beach/Dongan Hills,Staten Island,Boro Zone,147,771.0
119,Highbridge,Bronx,Boro Zone,3842,8012.0
122,Hollis,Queens,Boro Zone,1452,3863.0
250,Westchester Village/Unionport,Bronx,Boro Zone,2437,4131.0
229,Sutton Place/Turtle Bay North,Manhattan,Yellow Zone,714624,844142.0
259,Woodlawn/Wakefield,Bronx,Boro Zone,2223,5015.0
95,Forest Hills,Queens,Boro Zone,10550,50239.0
98,Fresh Meadows,Queens,Boro Zone,1202,6484.0
128,Inwood Hill Park,Manhattan,Boro Zone,412,3668.0
125,Hudson Sq,Manhattan,Yellow Zone,209160,217692.0
235,University Heights/Morris Heights,Bronx,Boro Zone,4338,6559.0
220,Spuyten Duyvil/Kingsbridge,Bronx,Boro Zone,2777,14736.0
116,Hamilton Heights,Manhattan,Boro Zone,39055,99131.0
241,Van Cortlandt Village,Bronx,Boro Zone,2936,6579.0
83,Elmhurst/Maspeth,Queens,Boro Zone,4073,10181.0
217,South Williamsburg,Brooklyn,Boro Zone,2953,14916.0
223,Steinway,Queens,Boro Zone,11330,49308.0
232,Two Bridges/Seward Park,Manhattan,Yellow Zone,64166,197447.0
247,West Concourse,Bronx,Boro Zone,8099,14843.0
244,Washington Heights South,Manhattan,Boro Zone,34548,134499.0
92,Flushing,Queens,Boro Zone,4492,28392.0
238,Upper West Side North,Manhattan,Yellow Zone,792561,896581.0
107,Gramercy,Manhattan,Yellow Zone,822254,795110.0
226,Sunnyside,Queens,Boro Zone,37822,64906.0
86,Far Rockaway,Queens,Boro Zone,3900,9118.0
131,Jamaica Estates,Queens,Boro Zone,2792,8793.0
113,Greenwich Village North,Manhattan,Yellow Zone,583069,532487.0
89,Flatbush/Ditmas Park,Brooklyn,Boro Zone,14683,38118.0
262,Yorkville East,Manhattan,Yellow Zone,562789,613560.0
253,Willets Point,Queens,Boro Zone,278,605.0
110,Great Kills Park,Staten Island,Boro Zone,1,3.0
